url,breakpoints,check,level,node,detail,sample,acknowledged_because
https://mosaic.moksaweb.com/my-account/,"_,_t,_m",CONTRAST,ack,a.moksa-line-button,"2.26:1 against its background, needs 4.5",用 LINE 繼續,"LINE Login's own button, emitted by the LINE plugin inside WooCommerce's login form. LINE's brand guidelines fix it at #06C755 with white text, which is 2.26:1 - the official asset fails WCAG 1.4.3 as designed. Recolouring a third party's sign-in control breaks the recognition it exists for; the fix belongs to LINE, not to this page. The page's own primary button was corrected to ink-on-accent (5.73:1) in the same pass."
https://mosaic.moksaweb.com/my-account/,"_,_,_t,_t,_m,_m",CLIPPED,ack,span.screen-reader-text,11px of text in a 1px box,必填,"WordPress's visually-hidden pattern: a 1px clipped box that keeps the text in the accessibility tree while hiding it from sight. Being clipped is the whole mechanism, not a defect - the audit is right that 11px of text sits in a 1px box, and that is exactly what a screen reader needs it to do."
https://mosaic.moksaweb.com/moksa/,"_,_t,_m",DECORATIVE_TEXT,ack,mk-code-c0-h::after,"2.71:1 - drawn by CSS content, so it is out of the accessibility tree and exempt, but it IS visible",PY,"The hero's code layer. Drawn by CSS `content` so it is not in the accessibility tree, and WCAG 1.4.3 exempts incidental text that is part of a picture with other significant visual content. Measured at 1.46:1 under the headline and 2.71:1 to the right; raising it to 4.5:1 would make the background a foreground. The lede and the spec column carry their own paper so no real content is ever read against it."
https://mosaic.moksaweb.com/moksa/,"_,_t,_m",DECORATIVE_TEXT,ack,mk-code-c0-l0::after,"1.46:1 - drawn by CSS content, so it is out of the accessibility tree and exempt, but it IS visible","@app.post(\""/orders/{id}/pai","The hero's code layer. Drawn by CSS `content` so it is not in the accessibility tree, and WCAG 1.4.3 exempts incidental text that is part of a picture with other significant visual content. Measured at 1.46:1 under the headline and 2.71:1 to the right; raising it to 4.5:1 would make the background a foreground. The lede and the spec column carry their own paper so no real content is ever read against it."
https://mosaic.moksaweb.com/moksa/,"_,_t,_m",DECORATIVE_TEXT,ack,mk-code-c0-l1::after,"1.46:1 - drawn by CSS content, so it is out of the accessibility tree and exempt, but it IS visible",async def paid(id: str):,"The hero's code layer. Drawn by CSS `content` so it is not in the accessibility tree, and WCAG 1.4.3 exempts incidental text that is part of a picture with other significant visual content. Measured at 1.46:1 under the headline and 2.71:1 to the right; raising it to 4.5:1 would make the background a foreground. The lede and the spec column carry their own paper so no real content is ever read against it."
https://mosaic.moksaweb.com/moksa/,"_,_t,_m",DECORATIVE_TEXT,ack,mk-code-c0-l2::after,"1.46:1 - drawn by CSS content, so it is out of the accessibility tree and exempt, but it IS visible",    o = await repo.get(id),"The hero's code layer. Drawn by CSS `content` so it is not in the accessibility tree, and WCAG 1.4.3 exempts incidental text that is part of a picture with other significant visual content. Measured at 1.46:1 under the headline and 2.71:1 to the right; raising it to 4.5:1 would make the background a foreground. The lede and the spec column carry their own paper so no real content is ever read against it."
https://mosaic.moksaweb.com/moksa/,"_,_t,_m",DECORATIVE_TEXT,ack,mk-code-c0-l3::after,"1.46:1 - drawn by CSS content, so it is out of the accessibility tree and exempt, but it IS visible","    await tasks(\""invoice\"",","The hero's code layer. Drawn by CSS `content` so it is not in the accessibility tree, and WCAG 1.4.3 exempts incidental text that is part of a picture with other significant visual content. Measured at 1.46:1 under the headline and 2.71:1 to the right; raising it to 4.5:1 would make the background a foreground. The lede and the spec column carry their own paper so no real content is ever read against it."
https://mosaic.moksaweb.com/moksa/,"_,_t,_m",DECORATIVE_TEXT,ack,mk-code-c0-l4::after,"1.46:1 - drawn by CSS content, so it is out of the accessibility tree and exempt, but it IS visible","    return {\""ok\"": True}","The hero's code layer. Drawn by CSS `content` so it is not in the accessibility tree, and WCAG 1.4.3 exempts incidental text that is part of a picture with other significant visual content. Measured at 1.46:1 under the headline and 2.71:1 to the right; raising it to 4.5:1 would make the background a foreground. The lede and the spec column carry their own paper so no real content is ever read against it."
https://mosaic.moksaweb.com/moksa/,"_,_t,_m",DECORATIVE_TEXT,ack,mk-code-c1-h::after,"2.71:1 - drawn by CSS content, so it is out of the accessibility tree and exempt, but it IS visible",TSX,"The hero's code layer. Drawn by CSS `content` so it is not in the accessibility tree, and WCAG 1.4.3 exempts incidental text that is part of a picture with other significant visual content. Measured at 1.46:1 under the headline and 2.71:1 to the right; raising it to 4.5:1 would make the background a foreground. The lede and the spec column carry their own paper so no real content is ever read against it."
https://mosaic.moksaweb.com/moksa/,"_,_t,_m",DECORATIVE_TEXT,ack,mk-code-c1-l0::after,"1.46:1 - drawn by CSS content, so it is out of the accessibility tree and exempt, but it IS visible",<section,"The hero's code layer. Drawn by CSS `content` so it is not in the accessibility tree, and WCAG 1.4.3 exempts incidental text that is part of a picture with other significant visual content. Measured at 1.46:1 under the headline and 2.71:1 to the right; raising it to 4.5:1 would make the background a foreground. The lede and the spec column carry their own paper so no real content is ever read against it."
